"name","address","phone","rating","number_of_reviews"
"Perfect Smile dental Clinic","100 -C, Central School Scheme Main Rd, Air Force Area, Jodhpur, Rajasthan 342011, India","094624 79281",4.8,184
"Mukesh Dental Care Orthodontic & Implants Centre ( Dr. Mukesh Paliwal)","40 Feet Rd, Rameshwar Nagar, 1st Phase, Basni, Jodhpur, Rajasthan 342005, India","N/A",4.5,21
"Mehta Dental Clinic - Dr.Anam Mehta & Dr.Ashima Mehta","103, Central School Scheme Main Rd, Air Force Area, Jodhpur, Rajasthan 342011, India","098282 90678",4.9,62
"A R dental clinic","726M+R4W, Golf Course Park Rd, Air Force Area, Jodhpur, Rajasthan 342011, India","N/A","No rating available","No reviews"
"Rajmani's Dental Care - Best Dentist Near Me | dental Clinic Near Me | Dentist in Jodhpur","3/21, near Samudayik Bhavan, Sector 3, Kudi Bhagtasni Housing Board, Choraha, Jodhpur, Rajasthan 342005, India","096808 77699",4.4,8
"Meenakshi Dental Care","7265+JQR, Sector-H, Shastri Nagar, Jodhpur, Rajasthan 342003, India","0291 261 0423","No rating available","No reviews"
"Dr. D.D. Gupta","1/3 mdm hospital campus,near shastri circle,shastri nagar, Section 7 Extension, Shastri Nagar, Jodhpur, Rajasthan 342003, India","0291 263 8385",4.5,2
"Dr Anika Aggarwal - Best Dentist InJodhpur | Smile Designing & Root Canal Specialist","houswe, 119, New Power House Rd, behind market, near deeksha classes, Section 7, Section 7 Extension, Shastri Nagar, Jodhpur, Rajasthan 342003, India","092399 93999",4.6,26
"Dr. Radhika Joshi- Dentist In Jodhpur","Dr. Radhika Joshi Clinic 4F2, New Power House Rd, Section 7 Extension, Shastri Nagar, Jodhpur, Rajasthan 342003, India","N/A","No rating available","No reviews"
"Manvi Sparkling Smiles","46 Abhay Ghar Opp.Airforce K.V.No.1 School, Jodhpur, Rajasthan 342011, India","094144 74473",5,17
"Shailee Dental Care","C-159, near mansukh diagnostic center, Sector-C, Shastri Nagar, Jodhpur, Rajasthan 342003, India","082900 22300","No rating available","No reviews"
"S R Dental Clinic","C-16 A, Opp. MDM Hospital, Shastri Nagar, Jodhpur, Sector-C, Shastri Nagar, Jodhpur, Rajasthan 342003, India","094141 34764",4,4
"Newsmile Dental Care","111, Shobhawaton Ki Dhani Rd, Gajendra Nagar, Khema-Ka-Kuwa, Jodhpur, Rajasthan 342008, India","N/A","No rating available","No reviews"
"Paras Dental Care","111, Shobhawaton Ki Dhani Rd, Gajendra Nagar, Khema-Ka-Kuwa, Jodhpur, Rajasthan 342008, India","N/A","No rating available","No reviews"
"Gehlot Dental Clinic","Sector 8, Kudi Bhagtasni Housing Board, Vivek Vihar Yojana, Jodhpur, Sangariya, Rajasthan 342013, India","N/A",5,1
"Laser Dental Clinic","Shivam Hospital,4 Mahaveer Colony 'B' Bhaskar Chouraha, Mahaveer Colony, Ratanada, Jodhpur, Rajasthan 342001, India","088905 60570",5,54
"Lodha Dental Care","B-60, opp. Agrasen Park, Sector-B, Shastri Nagar, Jodhpur, Rajasthan 342003, India","093523 29304",4.8,36
"Elegant Teeth","6, ITI Rd, Sector-C, Shastri Nagar, Jodhpur, Rajasthan 342003, India","N/A","No rating available","No reviews"
"Saran Dental Hospital & Implant Centre","Medical Market, Ratanada Cir, opposite Bharat Petrol Pump, near Ratanada, Cantt Area, Jodhpur, Rajasthan 342011, India","0291 261 3737",3.9,48
"Dr tarun choudhary","House No 22 gali no.1, Shakti Colony, Ratanada, Jodhpur, Rajasthan 342001, India","N/A",5,3
"Suncity Dental Clinic & Implant Center","State Highway 61, Cantt Area, Ratanada Circle, opposite Sukh Sagar Restaurant, Ratanada, Jodhpur, Rajasthan 342011, India","088548 12340",4.6,5
"Dr Sajjad Qureshi","Medicity hospital and research centre, A-72, circle, Chopasani Rd, near SBI bank, Sector-A, Akhaliya Vikas Yojana, Jodhpur, Rajasthan 342001, India","N/A",5,3
"Jindal Dental Clinic","Bakhat Sagar, 45, Nehru Park Rd, Sindhi Colony, Sardarpura, Jodhpur, Rajasthan 342003, India","N/A",5,3
"Dr Pankaj Sancheti","37-kha, 10th E Rd, Sardarpura, Jodhpur, Rajasthan 342003, India","N/A","No rating available","No reviews"
"Dr Arvind Singh Bithu","72F5+45X, D Rd, Sardarpura, Jodhpur, Rajasthan 342003, India","N/A",5,1
"Pearl Dental Care","893, 2nd D Rd, Sardarpura, Jodhpur, Rajasthan 325001, India","080790 49628",3,2
"Dr Itika singla( Teeth and face clinic)","A-306, near dalle khan ki chakki, near dr shyam mathur, Sector-A, Shastri Nagar, Jodhpur, Rajasthan 342003, India","099827 64860",5,138
"Smile Studio","3M, Circuit House Rd, Hanwant Nagar, East Patel Nagar, Jodhpur, Rajasthan 342006, India","087644 16160",5,3
"Dr sunita khetani ( SENIOR DENTIST) TEETH AND GUMS","shopping center, E 49, near CLG Institute, Kalpataru, Sindhi Colony, Sector-E, Shastri Nagar, Jodhpur, Rajasthan 342003, India","098298 24356",5,1
"Sudant - Mittal Dental & Implant centre(EX Oral & Maxillofacial surgeon AIIMS ,Jodhpur)","E 81 Behind Rathi hospital, kalpataru shopping centre, shastri nagar, Sindhi Colony, Sector-E, Shastri Nagar, Jodhpur, Rajasthan 342003, India","094149 83326",5,21
"Rathi Dental Care (Dr. Anubha Rathi)","E-109, C/O Rathi Hospital, Sindhi Colony, Sector-E, Shastri Nagar, Jodhpur, Rajasthan 342003, India","081473 05750",4.8,32
"Dr Komal Purohit","G tower, 19 A, road, Shanker Nager, Subhash Nagar, Jodhpur, Rajasthan 342008, India","N/A","No rating available","No reviews"
"DENTAL HUB JODHPUR","family gate, Subhash Chowk, opposite Police Line Road, Ratanada, Jodhpur, Rajasthan 342001, India","098808 15445",4.9,74
"Dr. Purnima Purohit | Dentist | JJEDC ENDODONTIC DENTAL IMPLANT CENTER","JJEDC ENDODONTIC DENTAL IMPLANT CENTER, Sardarpura, Jodhpur, Rajasthan 342001, India","N/A","No rating available","No reviews"
"JJEDC ENDODONTIC Dental Implant Centre","177, 1st C Rd, Sardarpura, Jodhpur, Rajasthan 342003, India","082335 11670",4.8,65
"Dr Jogesh Purohit","JJEDC Oral Implant Centre, 177, 1st C Rd, Sardarpura, Jodhpur, Rajasthan 342003, India","N/A",3.8,4
"Dr. Bothra's SMILE Designing Center","B wing-103 & 104, 1st Floor, Aanchal Complex, Residency Rd, Near Manidhari Hospital, Sardarpura, Jodhpur, Rajasthan 342003, India","098292 49300",5,305
"Dr. Sangeeta Patel","Subhash Nagar, Jodhpur, Rajasthan 342008, India","N/A","No rating available","No reviews"
"DEIVAM DENTAL CLINIC","AVR Complex, No.14, P.T.R Road, Narimedu, Madurai, Tamil Nadu 625002, India","0452 452 2771",4.9,78
"Nala Dental Hospital","9B, 1, Vallabh Bhai Rd, near Vadamalayan Hospital, Reserve Police Line, Chinna Chokikulam, Madurai, Tamil Nadu 625002, India","094441 54551",4.3,172
"V Bose Dental Care","236 South Veli St, Chinna Kadai St, South Gate, Periyar, Area, Madurai, Tamil Nadu 625001, India","093452 44555",4.9,569
"Britestar Dental Solutions","E Veli St, Near Federal Bank, Mahal Area, Madurai Main, Madurai, Tamil Nadu 625001, India","098848 64267",5,3
"Aristo Speciality Hospital","50B, Bypass Rd, opp. Aparna Towers, Ponmeni, Madurai, Tamil Nadu 625016, India","083444 11127",4.1,336
"ANBU DENTAL CLINIC Nelpettai","231, E Veli St, Nelpettai, Madurai Main, Madurai, Tamil Nadu 625001, India","081108 11044",4.9,93
"Madura Dental Clinic","No 278, Goods Shed St, near Railway station, Madurai Main, Madurai, Tamil Nadu 625001, India","099447 24564",4.9,651
"Madurai Dental Centre","No: 239, Kamarajar Road, Gandhipettai Bus Stop, Near Alankar Theatre, Madurai, Tamil Nadu 625009, India","0452 232 6297",4.1,22
"VSG Dental Care","17-B, Tirupparankunram Rd, Andalpuram, Madurai, Tamil Nadu 625003, India","099943 99321",5,9
"SMILE STYLE Dental clinic","12A/59A, Kuruvikkaran salai, 1st, Jawahar Cross St, Anna Nagar, Shenoy Nagar, Madurai, Tamil Nadu 625020, India","073730 47575",4.9,431
"GRACE DENTAL CLINIC","46, Netaji Rd, Madurai Main, Madurai, Tamil Nadu 625001, India","N/A",5,10
"Toothzone Dental","A4/2, KK Nagar Main Rd, opp. to Bata Showroom, next to Apollo pharmacy, Mellur, KK Nagar, Naganakulam, Tamil Nadu 625020, India","0452 439 3943",4,22
"VasuRam Dental Care","No 71, Thiruvapudaiyar kovil bus stop Palam Station Road, and, near Muthoot Finance, opposite to Minnal Kalyana Mandapam, Sellur, Madurai, Tamil Nadu 625002, India","097876 99066",4.8,26
"Deen Dentofacial Clinics - branch 1","S Veli St, South Gate, Periyar, Madurai Main, Madurai, Tamil Nadu 625001, India","0452 436 5787",5,1
"Shanker Dental and Craniofacial Centre","17/33 Rajaji Street, Gandhi Nagar Walkable distance from Anna, Bus stand, opposite Asirvatham Speciality hospital, Shenoy Nagar, Madurai, Tamil Nadu 625020, India","097884 73879",5,4
"Prabhu Oral Surgery Centre","503, W 2nd St, Mellur, KK Nagar, Naganakulam, Tamil Nadu 625020, India","091590 69078",4.3,6
"Smile Bright Dental Care","1st floor, indian bank colony, Siva Complex, NH 785, Mahalakshmi Nagar, Madurai, Tamil Nadu 625014, India","0452 268 2262",4.6,10
"The Smile Care, Dental Clinic","Madurai Citi centre, 137, 93, Kamarajar Salai, Pankajam Colony, Kamarajar Salai, Madurai, Tamil Nadu 625009, India","N/A",4.8,8
"Agaram Dental Clinic","First Floor, Agaram Dental Clinic, Petrol Bunk, Bypass Rd, near Vajra Apartments, above Sakthi medicals, Ponmeni, Madurai, Tamil Nadu 625016, India","093448 55157",4.9,378
"TOOTH DENTAL CARE","73 a, Vakkil New St, Arajar Salai, Simmakkal, Madurai Main, Madurai, Tamil Nadu 625001, India","N/A","No rating available","No reviews"
"A.A. Dental Care","bus stop, 92, N Veli St, near simmakkal, Arajar Salai, Simmakkal, Madurai Main, Madurai, Tamil Nadu 625001, India","097897 75363",4.9,419
"Balaji Ortho Clinic","60, Dhanappa Mudali Street, near Mayura Complex, Madurai Main, Madurai, Tamil Nadu 625001, India","0452 234 2010","No rating available","No reviews"
"Dentes Dental Clinic","Dentes Dental clinic, 207, E Veli St, Kamarajar Salai, Madurai Main, Madurai, Tamil Nadu 625001, India","080980 04142",4.9,286
"MURUGADOSS DENTAL HOSPITAL","no 4 ,east marret street, 4th lane, Kamarajar Salai, Madurai Main, Madurai, Tamil Nadu 625001, India","099439 94522",5,69
"DENTAL CARE","Sellur, Madurai, Tamil Nadu 625002, India","N/A","No rating available","No reviews"
"Siva Dental Clinic","8,Ponnagaram Broadway, 1st St, Ponnagaram, Arappalayam, Madurai, Tamil Nadu 625001, India","099949 31178","No rating available","No reviews"
"Sree Parvathi Dental Clinic","99, Palam Station Rd, Sellur, Madurai, Tamil Nadu 625002, India","094427 03011",5,7
"White Pearl Dental Care","W4MG+447, Suyarajyapuram East Main Street, Sellur, Madurai, Tamil Nadu 625001, India","097902 99787","No rating available","No reviews"
"SURYA MULTISPECIALITY DENTAL CLINIC","Paetai, pallivasal complex, bus stop, Pallivasal St, near goripalayam, Goripalayam, Madurai, Tamil Nadu 625002, India","088071 51047",5,658
"Dr.Nadha’s aestheticz","9, Chavadi St, Goripalayam, Madurai, Tamil Nadu 625002, India","N/A",5,2
"ELITE DENTAL CLINIC","first floor, 12 a, E2E2 Rd, above Valli Medical shop, 1st street, Narimedu, Madurai, Tamil Nadu 625002, India","N/A",5,6
"Zaara Dental Clinic","68, near, Munichalai Rd, adjacent to Apollo Pharmacy, Munichalai, Madurai, Tamil Nadu 625009, India","0452 452 0066",4.9,1917
"MEGHA DENTAL CARE","3A, Arappalayam Main Rd, opposite to Sandhya hospital, near Thirumalai naicker statue, Ponnagaram, Arappalayam, Madurai, Tamil Nadu 625016, India","N/A",5,9
"Noor Dental Clinic and Orthodontic hospital","41-B, PT Rajan Rd, opposite to O.C.P.M BACK GATE, Narimedu, Madurai, Tamil Nadu 625002, India","084892 99299",4.9,1353
"D - CARE Speciality dental clinic","No 156, 1st floor, E Marret St, Panthadi Area, thavittusandai, Madurai, Tamil Nadu 625020, India","N/A",4.9,8
"RAJU DENTAL CLINIC","Narimedu, Madurai, Tamil Nadu 625002, India","N/A","No rating available","No reviews"
"THU DENTAL CARE","South Gate, Periyar, Madurai Main, Madurai, Tamil Nadu 625001, India","099765 55333","No rating available","No reviews"
"Sathesh Hospital and Honey Dentistry","New 326,Old 137, East Marret Street,, Thavittusanthai bus stop(West),, Panthadi Area, Madurai Main, Madurai, Tamil Nadu 625001, India","095004 99650",4.8,17
"Subha Dental Clinic & Implant Center","147, E Veli St, Thavittu Sandhai, Madurai Main, Madurai, Tamil Nadu 625001, India","098942 83906",4.9,9
"Surya Ortho Care","99, TPK Road, Near Malai Murasu, T P K Road, Periyar, Madurai Main, Madurai, Tamil Nadu 625001, India","N/A","No rating available","No reviews"
"Joy Orthotics","3-A, Vaidhyanatha Iyyar S, Shenoy Nagar, Elango School Back Side, Shenoy Nagar, Madurai, Tamil Nadu 625020, India","0452 260 0550",4,1
"PUGAL DENTAL CARE","Arapalayam main road, jallikattu statue round, near arapalayam, Ponnagaram, Padi Thurai, Arappalayam, Madurai, Tamil Nadu 625016, India","063691 59310",5,9
"Twinklers Dental Care","Narimedu, 5A, Avaiyar Street, B B Kulam, Madurai, Tamil Nadu 625002, India","096778 69954",4.6,18
"Sumathi Dental Clinic","625001, 17, New Mahalipatti Rd, Mahalipatti, Madurai, Tamil Nadu 625001, India","097912 66792",4.8,23
"Dr. M.MOHAN KARTHIKEYAN","Madurai, Tamil Nadu 625009, India","N/A","No rating available","No reviews"
"Jeyadev Impex","99/20, West Ponnagaram, 8th Street, West Ponnagaram, Pethaniapuram 2, Arappalayam, Madurai, Tamil Nadu 625016, India","0452 450 0343","No rating available","No reviews"
"SH Dentz - Speciality Implant Clinic","179 A, First Floor, Kamarajar Salai, near Chamber of Commerce, opposite to Meenakshi Fan House, Madurai, Tamil Nadu 625009, India","090435 88772",5,11
"ஐ ஸ்மைல் பல் மருத்துவமனை","Sarvodaya Nagar 5th Street, New Ellis Nagar, Ellis Nagar, Madurai, Tamil Nadu 625016, India","063816 93409",5,40
"White Pearl Dental Care","2nd gate, PT Rajan Rd, opp. to Kendriya Vidyalaya School, next to Union Bank, Madurai, Tamil Nadu 625002, India","097902 99787",4.9,35
"Dakshin Dental Solution ( P ) Ltd","39,T.B. Road, Arasaradi, Old Dindigul Rd, North Gate, Somasundaram Nagar, Thomas Colony, Madurai, Tamil Nadu 625010, India","096593 02151",5,1
"Chaithanya Speciality Dental Clinic","1st Floor, Avinash Complex, Airport Rd, Yeyyadi, Mangaluru, Karnataka 575008, India","0824 222 4222",5,2
"Dr. Dhiraj's Dental & Invisible Braces Clinic","1st Floor, Tiwari bhavan, above SLV Book House, church hall, Jail Rd, Opp, Bejai, Mangaluru, Karnataka 575004, India","094481 64160",4.9,87
"INSMYLE FAMILY DENTIST - Kadri","VVJ6+GQ2, KMC Mercara Trunk Rd, Kadri, Mangaluru, Karnataka 575002, India","0824 222 2337",3.9,7
"The Dental Specialists","VVJ5+6G7, Shivabagh, Kadri, Mangaluru, Karnataka 575005, India","0824 222 1125",4,14
"Dr. Siddarth Shetty (Shetty Orthodontics)","First floor, Medicare Centre Complex, next to Hotel AJ Grand, Boloor, Hampankatta, Mangaluru, Karnataka 575003, India","099800 44933",5,31
"The Dental Care Clinic","1st Floor Alake Centre, Kambla Cross Junction Opp. Ullal, General Hospital, Alake, Kodailbail, Mangaluru, Karnataka 575003, India","098456 91849",5,20
"Saldanha Anjali Therese Dr","Falnir ""beauliev"", Mullakad, Konchady, Mangaluru, Karnataka 575001, India","0824 242 9480","No rating available","No reviews"
"Bhat Ganapathy Dr S","Kudupu, Mullakad, Konchady, Mangaluru, Karnataka 574508, India","0824 241 4303","No rating available","No reviews"
"Multi Speciality Dental Care Centre","Kavoor, Mangaluru, Karnataka 575015, India","N/A","No rating available","No reviews"
"T32 Dental Care Clinic & Implant Centre, [ Dentist ] , Mangalore","Kavoor, Mangaluru, Karnataka 575015, India","099006 12350",4.9,190
"Dr. Chethan Dental Clinic","1st floor, Saptagiri, Kavoor, Mangaluru, Karnataka 575015, India","N/A",4,7
"Happy Teeth Dental Clinic","Airport Road opposite Ramashrama primary school, Yeyyadi, Konchady, Mangaluru, Karnataka 575008, India","097420 89944",5,23
"The Dental Studio. A Multi Speciality Dental Clinic","Jeevan complex, Padavinangady junction, Cons store building, Jeevan Complex, Airport Rd, Padavinangady, SBI Colony, Mangaluru, Karnataka 575008, India","N/A",4.3,30
"COMFORT DENTAL CARE","Airport Rd, opposite hotel trishna, Padavinangady, Mangaluru, Karnataka 575008, India","N/A",5,2
"Dentistry","WVF7+HXR, Airport Rd, opposite petrol pump, Marakada, Kavoor, Mangaluru, Karnataka 575015, India","N/A","No rating available","No reviews"
"Dr. Rao's Orthodontic Speciality & Dental Care","#G-5, Pam Arcade, First Floor, Kottara, Mangaluru, Karnataka 575006, India","0824 411 1124",5,58
"Smile Dental Clinic","Kottara cross junction, near, Bejai Kavoor Rd, behind bus stop, Bejai, Mangaluru, Karnataka 575004, India","094493 89571",4.7,23
"Satyashri dental clinic","Sequeira Jewel Appartment, opp. Infosys Ltd. 575006 building, Kottara, Mangaluru, Karnataka 575013, India","098869 70917",5,5
"The Dental Lounge","The Dental Lounge, Ground floor, store, Titian eye plus building, bus stop, near urwa, Urwa, Mangaluru, Karnataka 575006, India","096114 32982",4.8,73
"Tiny Teeth- Children, Teens & Special Needs Dentistry","Shop no 8, Ventura Apartments, Museum Rd, Mallikatte, Bejai, Mangaluru, Karnataka 575004, India","098193 62853",4.9,143
"Dr. Chaitanya Shanbhag's Dental Care Centre","Kulur Ferry Rd, Chilimbi, Ladyhill, Mangaluru, Karnataka 575006, India","0824 245 0296",3.7,11
"Dental Aarogya","Ganesh nagar, Kodikal Rd, Kottara, Mangaluru, Karnataka 575006, India","098863 49726","No rating available","No reviews"
"Dental Speciality Clinic (Dr Rajesh K S Mds)","1st, Grace Towers, Bejai - Kapikad Rd, Bejai, Mangaluru, Karnataka 575004, India","0824 221 2093",4.6,16
"Dr Kamya Fernandes Vas","SmileVille Orthodontic and Multi-speciality Dental Clinic Shop no G3, Aryan building, market Complex, opp. Bejai, Bejai, Mangaluru, Karnataka 575004, India","N/A",5,6
"SmileVille Orthodontic and Multi-Speciality Dental Clinic","G3, Aryan Building, Bejai, Mangaluru, Karnataka 575004, India","0824 428 2509",4.9,76
"Mangaluru Dental Care Clinic","First Floor, Krishna towers, Kulur Ferry Rd, near Shirdi Sai Baba Mandir Road, Ladyhill, Mangaluru, Karnataka 575006, India","N/A",5,1
"Vk Dental Speciality And Periodontal Clinic","Marian Paradise Avenue 1st Floor No 105 Bikarnakatte, Nanthoor Jct, Kadri Hills, Kadri, Mangaluru, Karnataka 575005, India","N/A",5,8
"Eira Dental ™ Exclusive Invisalign® Centre","Third Floor, Inland Business Park, 308, Bejai Main Rd, Mallikatte, Kadri, Mangaluru, Karnataka 575004, India","089714 05648",5,4
"Chandramathi Dr K","Kadri Temple Road Mangalore, Kadri Temple Road, Kadri, Mangaluru, Karnataka 575002, India","0824 241 6501","No rating available","No reviews"
"Smile Care Orthodontics & Specialty Dental Clinic","2nd Floor, Shree Krishna Prasad Building, Complex, MG Rd, Lalbagh, Mangaluru, Karnataka 575003, India","098425 21386","No rating available","No reviews"
"Dr Ravi MS ORTHODONTIC and Dental clinic","Lalbagh, Mangaluru, Karnataka 575003, India","098452 21386",4.6,9
"Dr. Edwin Dias. A","circke, near lady hill, Ladyhill, Mangaluru, Karnataka 575006, India","098451 41115","No rating available","No reviews"
"DIVINE SMILES DENTAL - Best Dental Clinics in Mangalore","12 M C C COMPLEX,OPP,SAIBEEN COMPLEX, MG Rd, Lalbagh, Mangaluru, Karnataka 575003, India","0824 245 4672",4.7,16
"Kiran Dental Clinic (Dr. Karan Giriyan)","1-19-1471, Urwa Marigudi Rd, Urwa Market, Urwa, Mangaluru, Karnataka 575006, India","083174 82851",5,10
"Dr Ayisha Moureen","Shivabagh, Mallikatte, Kadri, Mangaluru, Karnataka 575002, India","N/A","No rating available","No reviews"
"Dr Sanjay Nayak's Dental Speciality Clinic","Ashok Nagar Rd, opp. Marigudi Temple, Urwa Market, Ladyhill, Mangaluru, Karnataka 575003, India","098450 85835",5,108
"Dental Studio","Opp Kalpane Bus Stop, Kulshekar Main Road Kulshekar, Bikarnakatte Kaikamba, Mangaluru, Karnataka 575005, India","097317 57274",5,202
"Maple Dental Clinic & Implant Center, Mangalore","Emelia"" Ground floor, opp, St Agnes College Rd, Mallikatte, Bendoor, Mangaluru, Karnataka 575002, India","096066 62282",4.7,28
"One Dentistry - Braces & Invisible Aligners (Dr. Shourya Hegde)","Dr Shourya Hegde, 3 Floor, Lotus Paradise Plaza, next to St. Theresa's School, Bendoor, Mangaluru, Karnataka 575002, India","099888 14444",5,52
"Elite Dentistry","2nd floor , 212 , Balmatta, milestone 25, collectors gate, Collectors gate, junction, Mallikatte, Kadri, Mangaluru, Karnataka 575002, India","099026 08077",5,282
"Cardiac Care and Dental Care","Collectors Gate, Milestone 25, Mallikatte, Kadri, Mangaluru, Karnataka 575002, India","094487 23151",5,33
"Excellence Dental clinic","3rd Floor, The Trade Center, near Hotel Woodlands, Hampankatta, Mangaluru, Karnataka 575003, India","090080 08040",4.4,24
"Dr.Shailesh Shenoy's Pediatric & Multispeciality Dental Clinic","The Trade Center, Bunts Hostel Rd, opp. Hotel Goldfinch, Floor, Hampankatta, Mangaluru, Karnataka 575003, India","099168 20253",5,97
"Sovereign Dental Speciality Clinic","Sharada Vidyalaya Road, Kodailbail, Mangaluru, Karnataka 575003, India","0824 249 2628","No rating available","No reviews"
"Dr. Akshatha G Kamath | Best Dentist in Mangalore","Room no.009, 2nd floor,KMC Hospital, R Ambedkar Circle, Dr.B, Hampankatta, Mangaluru, Karnataka 575002, India","1800 102 4647",5,2
"Dr. K. Nillan Shetty","1st Floor, Oberle Towers, opposite Juice Junction, Balmatta, Mangaluru, Karnataka 575002, India","0824 244 8815",5,5
"Smile M Braces","1st Floor, Oberle Towers, opp. Juice Junction, Balmatta, Mangaluru, Karnataka 575002, India","094814 46634",5,6
"Dr. Mallya's 32 Pearls Dental Clinic","1-C 1st Floor Kumudavathi Building Balmatta Road, Balmatta, Mobile: 9945677760, Bendoor, Mangaluru, Karnataka 575002, India","N/A",5,51
"Dr Silva’s Dental Clinic in Mangalore","1st Floor, Kumudavathi Building, Balmatta Rd, Bendoor, Mangaluru, Karnataka 575001, India","072042 06494",4.8,24
"Dr Geena's Multispeciality Dental Clinic","Pilikula Rd, Vamanjoor, Mangaluru, Karnataka 575028, India","094828 17928",5,11
"Smile Dental Care","No 42/A, Ground floor, Sriranga complex, Vishwamanava Double Road, Kuvempunagara North, Kuvempu Nagara, Mysuru, Karnataka 570009, India","N/A",4.7,805
"Apollo Dental Clinic, Mysuru - Best Dental Clinic in Bangalore - Root Canals, Aligners, Implants, Crowns and Veneers","Apollo BGS Hospitals, Adichunchanagiri Road ,Kuvempunagar, Kuvempu Nagara, Mysuru, Karnataka 570023, India","081234 31714",4.8,309
"Life Care Dental Clinic","2979, 6th Main Rd, Vani Vilas Mohalla, Mysuru, Karnataka 570002, India","098860 37522",4.9,436
"Complete Dentistry - Dental Clinic and Implant Centre","# 175 , 6th cross, 6th Main Rd, Vani Vilas Mohalla, Mysuru, Karnataka 570002, India","0821 419 4867",4.8,25
"Dr Paras. Mysore Smile :) Dental Clinic","No. 2689, Near Mallappa Flour shop. V V Mohalla 8th Cross, 6th Main Rd, Vani Vilas Mohalla, Mysuru, Karnataka 570002, India","098458 54977",4.9,89
"whYte dental","Adipampa Rd, Vani Vilas Mohalla, Mysuru, Karnataka 570001, India","070907 00790",4.8,745
"Smile ARC Dental Clinic","Vijyanagar, Vijayanagara 3rd stage, Mysuru, Karnataka 570017, India","098863 48062",5,3
"Mysore Dental Care & Implant Center","# 581, off, Kalidasa Rd, Vijayanagar 1st Stage, Vijayanagar, Mysuru, Karnataka 570017, India","098452 35853",4.8,528
"Parvathi Dental Clinic","PARVATHI DENTAL CARE - 446,446/1, 1ST STAGE Buddha Marga, opposite to DFRL, Siddhartha Layout, Mysuru, Karnataka 570011, India","098867 85810",4.8,149
"Sumanth Speciality Clinic","1211, New Kantharaj Urs Rd, Chamarajapura, Chamarajapuram Mohalla, Lakshmipuram, Mysuru, Karnataka 570004, India","N/A","No rating available","No reviews"
"White Lily Dental","2857, 2nd Main Rd, Jayanagar, Kuvempu Nagara, Mysuru, Karnataka 570014, India","093115 87749","No rating available","No reviews"
"Thomas Multi Speciality Dental Clinic","35/A,S No 375/B,Ramaswamy Circle, 1st Floor, Chamaraja Double Road, opposite Sri Krishna Bakery, Subbarayanakere, Chamrajpura, Mysuru, Karnataka 570024, India","0821 242 7242",4.4,12
"THE DENTIST","437, Chamaraja Double Road, Sunnadakeri, Rahmania Mohalla, Mysuru, Karnataka 570004, India","N/A","No rating available","No reviews"
"Pancham Dental Clinic","155, New Kantharaj Urs Rd, Basaveshwaranagar, Sharadadevi Nagar, Kuvempu Nagara, Mysuru, Karnataka 570022, India","098444 04044",4.9,8
"Kateel Dental care","#CH 15/2, 3rd cross, 5th Main Rd, Saraswathipuram, Mysuru, Karnataka 570009, India","099729 12662",4.9,34
"Dental Surgeon","Chikkahally Village, Varuna, Hobli, Hobli, Subbarayanakere, Chamrajpura, Mysuru, Karnataka 570010, India","0821 259 9557","No rating available","No reviews"
"Vinayaka dental clinic X Ray and Specialist Centre","1774, P and T Block, Jayanagar, Kuvempu Nagara, Mysuru, Karnataka 570023, India","N/A",5,2
"Fernandes Multi Speciality Dental Clinic & Implants Centre","Chamaraja Double Road, Subbarayanakere, KR Mohalla, Chamrajpura, Mysuru, Karnataka 570024, India","0821 244 2406",4.2,24
"My DENTIST, Foundation Of Preventive Dentistry","118, Panchamantra Rd, Kuvempu Nagara, Mysuru, Karnataka 570023, India","N/A",3.5,6
"ART OF BRACES DENTAL CARE","7JVH+G6H, Saraswathi Rd, Kuvempu Nagara, Mysuru, Karnataka 570023, India","N/A","No rating available","No reviews"
"Dr. R.Vijaylakshmi - Best Perio Dentist in Kuvempunagar Mysore","No.830, 830/1, 830/2, Newkantharaja Urs Road T.K. Layout, Kuvempu Nagara, Mysuru, Karnataka 570023, India","073289 03499",5,1
"Dr. Shadakshari - Best Dental Implant Doctors in Kuvempu Nagar Mysore","No.830, 830/1, 830/2, Newkantharaja Urs Road T.K. Layout, Kuvempu Nagara, Mysuru, Karnataka 570023, India","073289 03499","No rating available","No reviews"
"Dr. Mukta Jain - Best Dentist in Kuvempunagar Mysore","No.830, 830/1, 830/2, Newkantharaja Urs Road T.K. Layout, Kuvempu Nagara, Mysuru, Karnataka 570023, India","073289 03499",5,1
"Dr. Arun J Kumar","No.830, 830/1, 830/2, Newkantharaja Urs Road T.K. Layout, Kuvempu Nagara, Mysuru, Karnataka 570023, India","073289 03499",5,1
"Dr. Vijayalakshmi R - Best Children Dentist in Mysore","No.830, 830/1, 830/2, Newkantharaja Urs Road T.K. Layout, Kuvempu Nagara, Mysuru, Karnataka 570023, India","073289 03499","No rating available","No reviews"
"Dr. Suma - Best Dental Braces Dentist in Mysore","No.830, 830/1, 830/2, Newkantharaja Urs Road T.K. Layout, Kuvempu Nagara, Mysuru, Karnataka 570023, India","073289 03499",5,1
"Dr. Jyothishree PV - Dentist in Kuvempunagar Mysore","No.830, 830/1, 830/2, Newkantharaja Urs Road T.K. Layout, Kuvempu Nagara, Mysuru, Karnataka 570023, India","073289 03499",4,1
